No. Year "Brandeis Score" "Babson Score" Difference "Winner Tally"
1.0 1955.0 2.0 4.0 -2.0 -1
2.0 1956.0 1.0 6.0 -5.0 -1
3.0 1960.0 4.0 1.0 3.0 1
4.0 1961.0 3.0 2.0 1.0 1
5.0 1962.0 1.0 2.0 -1.0 -1
6.0 1963.0 4.0 1.0 3.0 1
7.0 1964.0 2.0 2.0 0.0 0
8.0 1965.0 2.0 2.0 0.0 0
9.0 1966.0 3.0 0.0 3.0 1
10.0 1967.0 1.0 2.0 -1.0 -1
11.0 1968.0 1.0 1.0 0.0 0
12.0 1969.0 0.0 3.0 -3.0 -1
13.0 1970.0 1.0 0.0 1.0 1
14.0 1971.0 3.0 1.0 2.0 1
15.0 1972.0 0.0 2.0 -2.0 -1
16.0 1973.0 0.0 4.0 -4.0 -1
17.0 1974.0 6.0 1.0 5.0 1
18.0 1975.0 1.0 1.0 0.0 0
19.0 1976.0 2.0 0.0 2.0 1
20.0 1977.0 1.0 2.0 -1.0 -1
21.0 1978.0 0.0 0.0 0.0 0
22.0 1979.0 0.0 1.0 -1.0 -1
23.0 1979.0 0.0 2.0 -2.0 -1
24.0 1980.0 2.0 1.0 1.0 1
25.0 1980.0 2.0 3.0 -1.0 -1
26.0 1981.0 3.0 3.0 0.0 0
27.0 1981.0 1.0 0.0 1.0 1
28.0 1982.0 2.0 1.0 1.0 1
29.0 1982.0 0.0 1.0 -1.0 -1
30.0 1983.0 0.0 1.0 -1.0 -1
31.0 1984.0 0.0 1.0 -1.0 -1
32.0 1985.0 1.0 2.0 -1.0 -1
33.0 1986.0 5.0 2.0 3.0 1
34.0 1987.0 5.0 1.0 4.0 1
35.0 1988.0 1.0 3.0 -2.0 -1
36.0 1989.0 1.0 0.0 1.0 1
37.0 1990.0 3.0 2.0 1.0 1
38.0 1991.0 1.0 3.0 -2.0 -1
39.0 1992.0 3.0 3.0 0.0 0
40.0 1993.0 2.0 3.0 -1.0 -1
41.0 1994.0 2.0 2.0 0.0 0
42.0 1995.0 3.0 2.0 1.0 1
43.0 1996.0 0.0 2.0 -2.0 -1
44.0 1997.0 1.0 3.0 -2.0 -1
45.0 1998.0 2.0 1.0 1.0 1
46.0 1999.0 0.0 2.0 -2.0 -1
47.0 2000.0 1.0 2.0 -1.0 -1
48.0 2001.0 0.0 5.0 -5.0 -1
49.0 2002.0 1.0 5.0 -4.0 -1
50.0 2003.0 1.0 1.0 0.0 0
51.0 2004.0 3.0 2.0 1.0 1
52.0 2005.0 0.0 2.0 -2.0 -1
53.0 2006.0 1.0 1.0 0.0 0
54.0 2006.0 2.0 1.0 1.0 1
55.0 2007.0 3.0 1.0 2.0 1
56.0 2008.0 3.0 1.0 2.0 1
57.0 2009.0 2.0 3.0 -1.0 -1
58.0 2010.0 1.0 2.0 -1.0 -1
59.0 2011.0 1.0 2.0 -1.0 -1
60.0 2012.0 2.0 1.0 1.0 1
61.0 2013.0 1.0 0.0 1.0 1
62.0 2014.0 2.0 0.0 2.0 1
63.0 2015.0 1.0 0.0 1.0 1
64.0 2016.0 0.0 1.0 -1.0 -1
65.0 2017.0 2.0 1.0 1.0 1
66.0 2018.0 0.0 2.0 -2.0 -1
67.0 2019.0 2.0 1.0 1.0 1
68.0 2021.0 0.0 1.0 -1.0 -1
